Exchange,Token,Ltp,Change,Exchange Timestamp,Volume
1,1330,1839.2,4294966096,2020-09-02 14:37:46,2714591
1,1330,1838.55,4294966031,2020-09-02 14:37:47,2714662
1,1330,1838.55,4294966031,2020-09-02 14:37:49,2714783
1,1330,1838.55,4294966031,2020-09-02 14:37:50,2716281
1,1330,1839.0,4294966076,2020-09-02 14:37:50,2716523
1,1330,1839.25,4294966101,2020-09-02 14:37:51,2717170
1,1330,1839.25,4294966101,2020-09-02 14:37:52,2717196
1,1330,1839.25,4294966101,2020-09-02 14:37:54,2717228
1,1330,1839.9,4294966166,2020-09-02 14:37:54,2717231
1,1330,1839.9,4294966166,2020-09-02 14:37:55,2717277
1,1330,1840.0,4294966176,2020-09-02 14:37:57,2718374
1,1330,1840.0,4294966176,2020-09-02 14:37:57,2718473
1,1330,1840.0,4294966176,2020-09-02 14:37:58,2718567
1,1330,1840.0,4294966176,2020-09-02 14:37:59,2718586
1,1330,1840.0,4294966176,2020-09-02 14:38:01,2718990
1,1330,1840.0,4294966176,2020-09-02 14:38:01,2719491
1,1330,1840.1,4294966186,2020-09-02 14:38:02,2719541
1,1330,1840.0,4294966176,2020-09-02 14:38:04,2719613
1,1330,1840.05,4294966181,2020-09-02 14:38:05,2719620
1,1330,1840.05,4294966181,2020-09-02 14:38:06,2719678
1,1330,1840.0,4294966176,2020-09-02 14:38:06,2719673
1,1330,1840.0,4294966176,2020-09-02 14:38:07,2719688
1,1330,1840.0,4294966176,2020-09-02 14:38:08,2719804
1,1330,1840.05,4294966181,2020-09-02 14:38:10,2719816
1,1330,1840.05,4294966181,2020-09-02 14:38:11,2721237
1,1330,1840.4,4294966216,2020-09-02 14:38:11,2721238
1,1330,1840.6,4294966236,2020-09-02 14:38:12,2721342
1,1330,1840.65,4294966241,2020-09-02 14:38:13,2721358
1,1330,1840.7,4294966246,2020-09-02 14:38:15,2721505
1,1330,1840.5,4294966226,2020-09-02 14:38:15,2721520
1,1330,1840.7,4294966246,2020-09-02 14:38:16,2721678
1,1330,1840.7,4294966246,2020-09-02 14:38:17,2721794
1,1330,1840.75,4294966251,2020-09-02 14:38:19,2721844
1,1330,1840.75,4294966251,2020-09-02 14:38:20,2721863
1,1330,1840.75,4294966251,2020-09-02 14:38:21,2721882
1,1330,1840.45,4294966221,2020-09-02 14:38:21,2721984
1,1330,1840.75,4294966251,2020-09-02 14:38:22,2722087
1,1330,1840.5,4294966226,2020-09-02 14:38:23,2722210
1,1330,1840.75,4294966251,2020-09-02 14:38:25,2722357
1,1330,1840.5,4294966226,2020-09-02 14:38:25,2722523
1,1330,1840.75,4294966251,2020-09-02 14:38:26,2722540
1,1330,1840.75,4294966251,2020-09-02 14:38:27,2722542
1,1330,1840.75,4294966251,2020-09-02 14:38:29,2722542
1,1330,1840.45,4294966221,2020-09-02 14:38:29,2723385
1,1330,1840.75,4294966251,2020-09-02 14:38:30,2723469
1,1330,1840.55,4294966231,2020-09-02 14:38:32,2723777
1,1330,1840.45,4294966221,2020-09-02 14:38:33,2724395
1,1330,1840.05,4294966181,2020-09-02 14:38:34,2724458
1,1330,1840.5,4294966226,2020-09-02 14:38:34,2724464
1,1330,1840.05,4294966181,2020-09-02 14:38:35,2724475
1,1330,1840.7,4294966246,2020-09-02 14:38:36,2724526
1,1330,1840.55,4294966231,2020-09-02 14:38:38,2724533
1,1330,1840.7,4294966246,2020-09-02 14:38:38,2724532
1,1330,1840.55,4294966231,2020-09-02 14:38:39,2724533
1,1330,1840.55,4294966231,2020-09-02 14:38:41,2724533
1,1330,1840.55,4294966231,2020-09-02 14:38:41,2724533
